place,movie_title,rating,year,star_cast
1, The Shawshank Redemption,9.235223988600902,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2, The Godfather,9.156066732236368,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3, The Dark Knight,8.989213185247339,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4, The Godfather Part II,8.984068218779065,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5, 12 Angry Men,8.950750237027483,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6, Schindler's List,8.93796500999879,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7, The Lord of the Rings: The Return of the King,8.928578310089955,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8, Pulp Fiction,8.848435182651643,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9, The Lord of the Rings: The Fellowship of the Ring,8.808649884393278,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1,". Il buono, il brutto, il cattivo",8.791069850782764,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11, Forrest Gump,8.767636425390238,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12, Fight Club,8.74876275967107,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13, The Lord of the Rings: The Two Towers,8.733821407176428,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14, Inception,8.733217310723937,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15, The Empire Strikes Back,8.700073475912507,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16, The Matrix,8.669903917957424,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17, Goodfellas,8.65235717087267,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18, One Flew Over the Cuckoo's Nest,8.639529278283309,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19, Se7en,8.604294462732199,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20, Shichinin no samurai,8.599281942813793,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21, It's a Wonderful Life,8.595854967152285,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22, The Silence of the Lambs,8.58822714593861,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23, Cidade de Deus,8.579675662441524,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24, Saving Private Ryan,8.578960480488703,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25, La vita è bella,8.56804421636233,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26, Interstellar,8.563847373362435,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27, The Green Mile,8.562111847811826,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
